date	config	ctx_target	prompt_tokens	completion_tokens	ttft_s	decode_s	decode_tps	overall_tps
2026-07-01 19:32	fp8-fp8	100	181	256	0.670	10.860	23.57	22.20
2026-07-01 19:32	fp8-fp8	100	181	256	0.421	11.123	23.02	22.18
2026-07-01 19:32	fp8-fp8	8192	8107	141	0.484	6.155	22.91	21.24
2026-07-01 19:32	fp8-fp8	8192	8107	133	0.480	5.799	22.94	21.18
2026-07-01 19:32	fp8-fp8	32768	32165	139	1.037	6.233	22.30	19.12
2026-07-01 19:32	fp8-fp8	32768	32165	137	0.592	6.491	21.11	19.34
2026-07-01 19:32	fp8-fp8	60000	58799	139	0.730	6.751	20.59	18.58
2026-07-01 19:32	fp8-fp8	60000	58799	139	0.718	6.749	20.60	18.62
2026-07-01 19:40	nvfp4-fp8	100	181	256	0.739	10.883	23.52	22.03
2026-07-01 19:40	nvfp4-fp8	100	181	256	0.412	10.997	23.28	22.44
2026-07-01 19:40	nvfp4-fp8	8192	8107	155	0.471	6.872	22.56	21.11
2026-07-01 19:40	nvfp4-fp8	8192	8107	153	0.475	6.791	22.53	21.06
2026-07-01 19:40	nvfp4-fp8	32768	32165	139	0.547	6.920	20.09	18.62
2026-07-01 19:40	nvfp4-fp8	32768	32165	129	0.549	6.400	20.16	18.56
2026-07-01 19:40	nvfp4-fp8	60000	58799	236	0.667	13.161	17.93	17.07
2026-07-01 19:40	nvfp4-fp8	60000	58799	256	0.685	14.275	17.93	17.11
2026-07-01 19:49	nvfp4-nvfp4	100	181	256	0.648	11.034	23.20	21.91
2026-07-01 19:49	nvfp4-nvfp4	100	181	256	0.420	11.060	23.15	22.30
2026-07-01 19:49	nvfp4-nvfp4	8192	8107	105	0.491	4.744	22.13	20.06
2026-07-01 19:49	nvfp4-nvfp4	8192	8107	110	0.489	4.973	22.12	20.14
2026-07-01 19:49	nvfp4-nvfp4	32768	32165	136	0.582	7.099	19.16	17.71
2026-07-01 19:49	nvfp4-nvfp4	32768	32165	190	0.600	9.922	19.15	18.06
2026-07-01 19:49	nvfp4-nvfp4	60000	58799	142	0.808	8.588	16.53	15.11
2026-07-01 19:49	nvfp4-nvfp4	60000	58799	245	0.830	14.892	16.45	15.58
2026-07-01 20:37	bf16-fp8	100	181	256	1.580	10.875	23.54	20.55
2026-07-01 20:37	bf16-fp8	100	181	256	0.555	11.362	22.53	21.48
2026-07-01 20:37	bf16-fp8	8192	8107	106	0.664	4.433	23.91	20.80
2026-07-01 20:37	bf16-fp8	8192	8107	106	0.665	4.415	24.01	20.87
2026-07-01 20:37	bf16-fp8	32768	32165	129	0.684	5.797	22.25	19.90
2026-07-01 20:37	bf16-fp8	32768	32165	129	0.541	5.961	21.64	19.84
2026-07-01 20:37	bf16-fp8	60000	58799	170	0.670	8.298	20.49	18.96
2026-07-01 20:37	bf16-fp8	60000	58799	170	0.689	8.291	20.50	18.93
2026-07-01 22:37	fp8-fp8-phase1	8192	8107	176	0.747	7.799	22.57	20.60
2026-07-01 22:37	fp8-fp8-phase1	8192	8107	176	0.506	8.293	21.22	20.00
2026-07-01 22:37	fp8-fp8-phase1	60000	58799	139	0.720	6.832	20.34	18.40
2026-07-01 22:37	fp8-fp8-phase1	60000	58799	140	0.727	6.882	20.34	18.40
2026-07-01 22:49	fp8-fp8-phase1b	60000	58799	139	1.020	6.690	20.78	18.03
2026-07-01 22:49	fp8-fp8-phase1b	60000	58799	170	0.734	8.185	20.77	19.06
2026-07-01 22:49	fp8-fp8-phase1b	60000	58799	170	0.732	8.208	20.71	19.02
2026-07-01 22:52	fp8-fp8-phase1b	8192	8107	134	0.499	5.812	23.05	21.23
2026-07-01 22:52	fp8-fp8-phase1b	8192	8107	134	0.501	5.811	23.06	21.23
