component	mode	ctx	mean_us_per_layer	median_us	layers	ms_per_token
dense-decode	bf16	8192	166.8	154.4	3	0.500
dense-decode	fp8	8192	157.9	157.2	3	0.474
dense-decode	nvfp4	8192	431.0	408.6	3	1.293
dense-split	bf16	8192	104.5	101.9	3	0.314
dense-split	fp8	8192	70.1	67.4	3	0.210
dense-split	nvfp4	8192	66.8	64.0	3	0.200
msa-decode	bf16	8192	38.1	36.3	57	2.173
msa-decode	fp8	8192	30.7	27.3	57	1.752
msa-decode	nvfp4	8192	30.9	30.0	57	1.760
indexer-q2k	fp8	8192	34.7	34.1	57	1.977
indexer-q2k	nvfp4	8192	52.0	48.1	57	2.966
dense-decode	bf16	32768	601.6	582.3	3	1.805
dense-decode	fp8	32768	615.9	597.5	3	1.848
dense-decode	nvfp4	32768	1596.5	1596.6	3	4.789
dense-split	bf16	32768	197.4	196.7	3	0.592
dense-split	fp8	32768	161.5	159.6	3	0.484
dense-split	nvfp4	32768	133.2	132.2	3	0.400
msa-decode	bf16	32768	36.3	31.9	57	2.067
msa-decode	fp8	32768	27.0	27.0	57	1.541
msa-decode	nvfp4	32768	31.0	30.0	57	1.767
indexer-q2k	fp8	32768	62.6	60.4	57	3.570
indexer-q2k	nvfp4	32768	96.1	95.2	57	5.480
dense-decode	bf16	60000	1078.7	1076.4	3	3.236
dense-decode	fp8	60000	1157.2	1115.6	3	3.472
dense-decode	nvfp4	60000	2919.0	2919.3	3	8.757
dense-split	bf16	60000	295.1	294.4	3	0.885
dense-split	fp8	60000	225.6	225.2	3	0.677
dense-split	nvfp4	60000	193.7	193.1	3	0.581
msa-decode	bf16	60000	34.5	33.9	57	1.965
msa-decode	fp8	60000	27.1	27.0	57	1.544
msa-decode	nvfp4	60000	32.3	31.8	57	1.843
indexer-q2k	fp8	60000	90.7	90.0	57	5.168
indexer-q2k	nvfp4	60000	155.8	148.3	57	8.881
