component	mode	ctx	mean_us_per_layer	median_us	layers	ms_per_step
dense-decode-q1	fp8	60000	226.3	225.3	3	0.679
dense-vfy-multirow	fp8	60000	221.7	220.6	3	0.665
dense-vfy-native	fp8	60000	nan	nan	3	nan
msa-decode-q1	fp8	60000	40.9	39.6	57	2.330
msa-vfy-native	fp8	60000	67.3	66.6	57	3.835
msa-vfy-multirow	fp8	60000	67.1	66.5	57	3.824
idx-decode-q1	fp8	60000	85.7	85.4	57	4.887
idx-vfy-multirow	fp8	60000	166.2	165.7	57	9.473
dense-decode-q1	nvfp4	60000	198.2	194.1	3	0.595
dense-vfy-multirow	nvfp4	60000	326.6	312.4	3	0.980
dense-vfy-native	nvfp4	60000	nan	nan	3	nan
msa-decode-q1	nvfp4	60000	45.5	44.3	57	2.591
msa-vfy-native	nvfp4	60000	72.9	72.2	57	4.156
msa-vfy-multirow	nvfp4	60000	72.6	72.0	57	4.140
idx-decode-q1	nvfp4	60000	90.6	90.0	57	5.164
idx-vfy-multirow	nvfp4	60000	242.3	242.0	57	13.810
