component	mode	ctx	mean_us_per_layer	median_us	layers	ms_per_step
dense-decode-q1	fp8	60000	228.9	226.6	3	0.687
dense-vfy-multirow	fp8	60000	223.1	222.3	3	0.669
dense-vfy-native	fp8	60000	222.7	221.9	3	0.668
msa-decode-q1	fp8	60000	43.5	39.5	57	2.481
msa-vfy-native	fp8	60000	67.6	66.6	57	3.854
msa-vfy-multirow	fp8	60000	67.5	66.6	57	3.849
idx-decode-q1	fp8	60000	87.8	87.0	57	5.006
idx-vfy-multirow	fp8	60000	182.1	182.3	57	10.382
idx-vfy-grouped	fp8	60000	91.5	90.8	57	5.216
dense-decode-q1	nvfp4	60000	196.7	196.0	3	0.590
dense-vfy-multirow	nvfp4	60000	311.7	311.0	3	0.935
dense-vfy-native	nvfp4	60000	326.4	322.3	3	0.979
msa-decode-q1	nvfp4	60000	45.7	44.4	57	2.603
msa-vfy-native	nvfp4	60000	74.4	73.6	57	4.240
msa-vfy-multirow	nvfp4	60000	74.5	73.5	57	4.245
idx-decode-q1	nvfp4	60000	81.3	80.3	57	4.634
idx-vfy-multirow	nvfp4	60000	182.5	181.6	57	10.401
idx-vfy-grouped	nvfp4	60000	85.1	84.7	57	4.853
